,3.3 PWR,1,2,5V PWR,
,GPIO 2,3,4,5V PWR,
,GPIO 3,5,6,GND,
 PIR in,GPIO 4,7,8,UART0 TX,
,GND,9,10,UART0 RX,
 12 PSU switch out,GPIO 17,11,12,GPIO 18,
 motor A out,GPIO 27,13,14,GND,
 motor B out,GPIO 22,15,16,GPIO 23,retracted in 
,3.3V PWR,17,18,GPIO 24,extended in  
,GPIO 10/SPI0 MOSI,19,20,GND,
,GPIO 9/SPI0 MISO,21,22,GPIO 25,
,GPIO 11/SPI0 SCLK,23,24,GPIO 8/SPI0 CSO,
,GND,25,26,GPIO 7/SPI0 CSI,
,Reserved,27,28,Reserved,
,GPIO 5,29,30,GND,
,GPIO 6,31,32,GPIO 12,left lamp    
 right lamp,GPIO 13,33,34,GND,
,GPIO 19/SPI1 MISO,35,36,GPIO 16/SPI1 CSO,
,GPIO 19/SPI1 MISO,37,38,GPIO 20/SPI1 MOSI,
,GND,39,40,SPI21/SPI1 SCLK,
