# name: Table A-18
# caption: Ideal-gas properties of nitrogen, N2
# source: Cengel and Boles 8th Edition
# notes: Source of Data: Tables A–18 through A–25 are adapted from Kenneth Wark, Thermodynamics, 4th ed. (New York: McGraw-Hill, 1983), pp. 787–98. Originally published in JANAF, Thermochemical Tables, NSRDS-NBS-37, 1971.
# delimiter: ,
# interpolate: True
#----------------------------------------------------
T,h_molar,u_molar,so_molar
#----------------------------------------------------
K,kJ/kmol,kJ/kmol,kJ/kmol/K
#----------------------------------------------------
0,0,0,0
220,6391,4562,182.639
230,6683,4770,183.938
240,6975,4979,185.180
250,7266,5188,186.370
260,7558,5396,187.514
270,7849,5604,188.614
280,8141,5813,189.673
290,8432,6021,190.695
298,8669,6190,191.502
300,8723,6229,191.682
310,9014,6437,192.638
320,9306,6645,193.562
330,9597,6853,194.459
340,9888,7061,195.328
350,10180,7270,196.173
360,10471,7478,196.995
370,10763,7687,197.794
380,11055,7895,198.572
390,11347,8104,199.331
400,11640,8314,200.071
410,11932,8523,200.794
420,12225,8733,201.499
430,12518,8943,202.189
440,12811,9153,202.863
450,13105,9363,203.523
460,13399,9574,204.170
470,13693,9786,204.803
480,13988,9997,205.424
490,14285,10210,206.033
500,14581,10423,206.630
510,14876,10635,207.216
520,15172,10848,207.792
530,15469,11062,208.358
540,15766,11277,208.914
550,16064,11492,209.461
560,16363,11707,209.999
570,16662,11923,210.528
580,16962,12139,211.049
590,17262,12356,211.562
600,17563,12574,212.066
610,17864,12792,212.564
620,18166,13011,213.055
630,18468,13230,213.541
640,18772,13450,214.018
650,19075,13671,214.489
660,19380,13892,214.954
670,19685,14114,215.413
680,19991,14337,215.866
690,20297,14560,216.314
700,20604,14784,216.756
710,20912,15008,217.192
720,21220,15234,217.624
730,21529,15460,218.059
740,21839,15686,218.472
750,22149,15913,218.889
760,22460,16141,219.301
770,22772,16370,219.709
780,23085,16599,220.113
790,23398,16830,220.512
800,23714,17061,220.907
810,24027,17292,221.298
820,24342,17524,221.684
830,24658,17757,222.067
840,24974,17990,222.447
850,25292,18224,222.822
860,25610,18459,223.194
870,25928,18695,223.562
880,26248,18931,223.927
890,26568,19168,224.288
900,26890,19407,224.647
910,27210,19644,225.002
920,27532,19883,225.353
930,27854,20122,225.701
940,28178,20362,226.047
950,28501,20603,226.389
960,28826,20844,226.728
970,29151,21086,227.064
980,29476,21328,227.398
990,29803,21571,227.728
1000,30129,21815,228.057
1020,30784,22304,228.706
1040,31442,22795,229.344
1060,32101,23288,229.973
1080,32762,23782,230.591
1100,33426,24280,231.199
1120,34092,24780,231.799
1140,34760,25282,232.391
1160,35430,25786,232.973
1180,36104,26291,233.549
1200,36777,26799,234.115
1220,37452,27308,234.673
1240,38129,27819,235.223
1260,38807,28331,235.766
1280,39488,28845,236.302
1300,40170,29361,236.831
1320,40853,29378,237.353
1340,41539,30398,237.867
1360,42227,30919,238.376
1380,42915,31441,238.878
1400,43605,31964,239.375
1420,44295,32489,239.865
1440,44988,33014,240.350
1460,45682,33543,240.827
1480,46377,34071,241.301
1500,47073,34601,241.768
1520,47771,35133,242.228
1540,48470,35665,242.685
1560,49168,36197,243.137
1580,49869,36732,243.585
1600,50571,37268,244.028
1620,51275,37806,244.464
1640,51980,38344,244.896
1660,52686,38884,245.324
1680,53393,39424,245.747
1700,54099,39965,246.166
1720,54807,40507,246.580
1740,55516,41049,246.990
1760,56227,41594,247.396
1780,56938,42139,247.798
1800,57651,42685,248.195
1820,58363,43231,248.589
1840,59075,43777,248.979
1860,59790,44324,249.365
1880,60504,44873,249.748
1900,61220,45423,250.128
1920,61936,45973,250.502
1940,62654,46524,250.874
1960,63381,47075,251.242
1980,64090,47627,251.607
2000,64810,48181,251.969
2050,66612,49567,252.858
2100,68417,50957,253.726
2150,70226,52351,254.578
2200,72040,53749,255.412
2250,73856,55149,256.227
2300,75676,56553,257.027
2350,77496,57958,257.810
2400,79320,59366,258.580
2450,81149,60779,259.332
2500,82981,62195,260.073
2550,84814,63613,260.799
2600,86650,65033,261.512
2650,88488,66455,262.213
2700,90328,67880,262.902
2750,92171,69306,263.577
2800,94014,70734,264.241
2850,95859,72163,264.895
2900,97705,73593,265.538
2950,99556,75028,266.170
3000,101407,76464,266.793
3050,103260,77902,267.404
3100,105115,79341,268.007
3150,106972,80782,268.601
3200,108830,82224,269.186
3250,110690,83668,269.763
