# name: Table A-25
# caption: Ideal-gas properties of hydroxyl, OH
# source: Cengel and Boles 8th Edition
# notes: Source of Data: Tables A–18 through A–25 are adapted from Kenneth Wark, Thermodynamics, 4th ed. (New York: McGraw-Hill, 1983), pp. 787–98. Originally published in JANAF, Thermochemical Tables, NSRDS-NBS-37, 1971.
# delimiter: ,
# interpolate: True
#----------------------------------------------------
T,h_molar,u_molar,so_molar
#----------------------------------------------------
K,kJ/kmol,kJ/kmol,kJ/kmol/K
#----------------------------------------------------
0,0,0,0
298,9188,6709,183.594
300,9244,6749,183.779
500,15181,11024,198.955
1000,30123,21809,219.624
1500,46046,33575,232.506
1600,49358,36055,234.642
1700,52706,38571,236.672
1800,56089,41123,238.606
1900,59505,43708,240.453
2000,62952,46323,242.221
2050,64687,47642,243.077
2100,66428,48968,243.917
2150,68177,50301,244.740
2200,69932,51641,245.547
2250,71694,52987,246.338
2300,73462,54339,247.116
2350,75236,55697,247.879
2400,77015,57061,248.628
2450,78801,58431,249.364
2500,80592,59806,250.088
2550,82388,61186,250.799
2600,84189,62572,251.499
2650,85995,63962,252.187
2700,87806,65358,252.864
2750,89622,66757,253.530
2800,91442,68162,254.186
2850,93266,69570,254.832
2900,95095,70983,255.468
2950,96927,72400,256.094
3000,98763,73820,256.712
3100,102447,76673,257.919
3200,106145,79539,259.093
3300,109855,82418,260.235
3400,113578,85309,261.347
3500,117312,88212,262.429
