# name: Table A-20
# caption: Ideal-gas properties of carbon dioxide, CO2
# source: Cengel and Boles 8th Edition
# notes: Source of Data: Tables A–18 through A–25 are adapted from Kenneth Wark, Thermodynamics, 4th ed. (New York: McGraw-Hill, 1983), pp. 787–98. Originally published in JANAF, Thermochemical Tables, NSRDS-NBS-37, 1971.
# delimiter: ,
# interpolate: True
#----------------------------------------------------
T,h_molar,u_molar,so_molar
#----------------------------------------------------
K,kJ/kmol,kJ/kmol,kJ/kmol/K
#----------------------------------------------------
0,0,0,0
220,6601,4772,202.966
230,6938,5026,204.464
240,7280,5285,205.920
250,7627,5548,207.337
260,7979,5817,208.717
270,8335,6091,210.062
280,8697,6369,211.376
290,9063,6651,212.660
298,9364,6885,213.685
300,9431,6939,213.915
310,9807,7230,215.146
320,10186,7526,216.351
330,10570,7826,217.534
340,10959,8131,218.694
350,11351,8439,219.831
360,11748,8752,220.948
370,12148,9068,222.044
380,12552,9392,223.122
390,12960,9718,224.182
400,13372,10046,225.225
410,13787,10378,226.250
420,14206,10714,227.258
430,14628,11053,228.252
440,15054,11393,229.230
450,15483,11742,230.194
460,15916,12091,231.144
470,16351,12444,232.080
480,16791,12800,233.004
490,17232,13158,233.916
500,17678,13521,234.814
510,18126,13885,235.700
520,18576,14253,236.575
530,19029,14622,237.439
540,19485,14996,238.292
550,19945,15372,239.135
560,20407,15751,239.962
570,20870,16131,240.789
580,21337,16515,241.602
590,21807,16902,242.405
600,22280,17291,243.199
610,22754,17683,243.983
620,23231,18076,244.758
630,23709,18471,245.524
640,24190,18869,246.282
650,24674,19270,247.032
660,25160,19672,247.773
670,25648,20078,248.507
680,26138,20484,249.233
690,26631,20894,249.952
700,27125,21305,250.663
710,27622,21719,251.368
720,28121,22134,252.065
730,28622,22522,252.755
740,29124,22972,253.439
750,29629,23393,254.117
760,30135,23817,254.787
770,30644,24242,255.452
780,31154,24669,256.110
790,31665,25097,256.762
800,32179,25527,257.408
810,32694,25959,258.048
820,33212,26394,258.682
830,33730,26829,259.311
840,34251,27267,259.934
850,34773,27706,260.551
860,35296,28125,261.164
870,35821,28588,261.770
880,36347,29031,262.371
890,36876,29476,262.968
900,37405,29922,263.559
910,37935,30369,264.146
920,38467,30818,264.728
930,39000,31268,265.304
940,39535,31719,265.877
950,40070,32171,266.444
960,40607,32625,267.007
970,41145,33081,267.566
980,41685,33537,268.119
990,42226,33995,268.670
1000,42769,34455,269.215
1020,43859,35378,270.293
1040,44953,36306,271.354
1060,46051,37238,272.400
1080,47153,38174,273.430
1100,48258,39112,274.445
1120,49369,40057,275.444
1140,50484,41006,276.430
1160,51602,41957,277.403
1180,52724,42913,278.361
1200,53848,43871,297.307
1220,54977,44834,280.238
1240,56108,45799,281.158
1260,57244,46768,282.066
1280,58381,47739,282.962
1300,59522,48713,283.847
1320,60666,49691,284.722
1340,61813,50672,285.586
1360,62963,51656,286.439
1380,64116,52643,287.283
1400,65271,53631,288.106
1420,66427,54621,288.934
1440,67586,55614,289.743
1460,68748,56609,290.542
1480,66911,57606,291.333
1500,71078,58606,292.114
1520,72246,59609,292.888
1540,73417,60613,292.654
1560,74590,61620,294.411
1580,76767,62630,295.161
1600,76944,63741,295.901
1620,78123,64653,296.632
1640,79303,65668,297.356
1660,80486,66592,298.072
1680,81670,67702,298.781
1700,82856,68721,299.482
1720,84043,69742,300.177
1740,85231,70764,300.863
1760,86420,71787,301.543
1780,87612,72812,302.217
1800,88806,73840,302.884
1820,90000,74868,303.544
1840,91196,75897,304.198
1860,92394,76929,304.845
1880,93593,77962,305.487
1900,94793,78996,306.122
1920,95995,80031,306.751
1940,97197,81067,307.374
1960,98401,82105,307.992
1980,99606,83144,308.604
2000,100804,84185,309.210
2050,103835,86791,310.701
2100,106864,89404,312.160
2150,109898,92023,313.589
2200,112939,94648,314.988
2250,115984,97277,316.356
2300,119035,99912,317.695
2350,122091,102552,319.011
2400,125152,105197,320.302
2450,128219,107849,321.566
2500,131290,110504,322.808
2550,134368,113166,324.026
2600,137449,115832,325.222
2650,140533,118500,326.396
2700,143620,121172,327.549
2750,146713,123849,328.684
2800,149808,126528,329.800
2850,152908,129212,330.896
2900,156009,131898,331.975
2950,159117,134589,333.037
3000,162226,137283,334.084
3050,165341,139982,335.114
3100,168456,142681,336.126
3150,171576,145385,337.124
3200,174695,148089,338.109
3250,177822,150801,339.069
