# name: Table A-26
# caption: Enthalpy of formation, Gibbs function of formation, and absolute entropy at 25 degC, 1 atm
# source: Cengel and Boles 8th Edition
# notes: Source of Data: From JANAF, Thermochemical Tables (Midland, MI: Dow Chemical., 1971); Selected Values of Chemical Thermodynamic Properties, NBS Technical Note 270-3, 1968; and API Research Project 44 (Carnegie Press, 1953).
# delimiter: ,
# interpolate: False
#----------------------------------------------------
substance,formula,phase,ho_f_molar,go_f_molar,so_molar
#----------------------------------------------------
None,None,None,kJ/kmol,kJ/kmol,kJ/kmol/K
#----------------------------------------------------
Carbon,C,s,0,0,5.74
Hydrogen,H2,g,0,0,130.68
Nitrogen,N2,g,0,0,191.61
Oxygen,O2,g,0,0,205.04
Carbon monoxide,CO,g,-110530,-137150,197.65
Carbon dioxide,CO2,g,-393520,-394360,213.80
Water vapor,H2O,g,-241820,-228590,188.83
Water,H2O,l,-285830,-237180,69.92
Hydrogen peroxide,H2O2,g,-136310,-105600,232.63
Ammonia,NH3,g,-46190,-16590,192.33
Methane,CH4,g,-74850,-50790,186.16
Acetylene,C2H2,g,+226730,+209170,200.85
Ethylene,C2H4,g,+52280,-68120,219.83
Ethane,C2H6,g,-84680,-32890,229.49
Propylene,C3H6,g,+20410,+62720,266.94
Propane,C3H8,g,-103850,-23490,269.91
n-Butane,C4H10,g,-126150,-15710,310.12
n-Octane,C8H18,g,-208450,+16530,466.73
n-Octane,C8H18,l,-249950,+6610,360.79
n-Dodecane,C12H26,g,-291010,+50150,622.83
Benzene,C6H6,g,+82930,+129660,269.20
Methyl alcohol,CH3OH,g,-200670,-162000,239.70
Methyl alcohol,CH3OH,l,-238660,-166360,126.80
Ethyl alcohol,C2H5OH,g,-235310,-168570,282.59
Ethyl alcohol,C2H5OH,l,-277690,-174890,160.70
Oxygen,O,g,+249190,+231770,161.06
Hydrogen,H,g,+218000,+203290,114.72
Nitrogen,N,g,+472650,+455510,153.30
Hydroxyl,OH,g,+39460,+34280,183.70
