# name: Table A-19
# caption: Ideal-gas properties of oxygen, O2
# source: Cengel and Boles 8th Edition
# notes: Source of Data: Tables A–18 through A–25 are adapted from Kenneth Wark, Thermodynamics, 4th ed. (New York: McGraw-Hill, 1983), pp. 787–98. Originally published in JANAF, Thermochemical Tables, NSRDS-NBS-37, 1971.
# delimiter: ,
# interpolate: True
#----------------------------------------------------
T,h_molar,u_molar,so_molar
#----------------------------------------------------
K,kJ/kmol,kJ/kmol,kJ/kmol/K
#----------------------------------------------------
0,0,0,0
220,6404,4575,196.171
230,6694,4782,197.461
240,6984,4989,198.696
250,7275,5197,199.885
260,7566,5405,201.027
270,7858,5613,202.128
280,8150,5822,203.191
290,8443,6032,204.218
298,8682,6203,205.033
300,8736,6242,205.213
310,9030,6453,206.177
320,9325,6664,207.112
330,9620,6877,208.020
340,9916,7090,208.904
350,10213,7303,209.765
360,10511,7518,210.604
370,10809,7733,211.423
380,11109,7949,212.222
390,11409,8166,213.002
400,11711,8384,213.765
410,12012,8603,214.510
420,12314,8822,215.241
430,12618,9043,215.955
440,12923,9264,216.656
450,13228,9487,217.342
460,13525,9710,218.016
470,13842,9935,218.676
480,14151,10160,219.326
490,14460,10386,219.963
500,14770,10614,220.589
510,15082,10842,221.206
520,15395,11071,221.812
530,15708,11301,222.409
540,16022,11533,222.997
550,16338,11765,223.576
560,16654,11998,224.146
570,16971,12232,224.708
580,17290,12467,225.262
590,17609,12703,225.808
600,17929,12940,226.346
610,18250,13178,226.877
620,18572,13417,227.400
630,18895,13657,227.918
640,19219,13898,228.429
650,19544,14140,228.932
660,19870,14383,229.430
670,20197,14626,229.920
680,20524,14871,230.405
690,20854,15116,230.885
700,21184,15364,231.358
710,21514,15611,231.827
720,21845,15859,232.291
730,22177,16107,232.748
740,22510,16357,233.201
750,22844,16607,233.649
760,23178,16859,234.091
770,23513,17111,234.528
780,23850,17364,234.960
790,24186,17618,235.387
800,24523,17872,235.810
810,24861,18126,236.230
820,25199,18382,236.644
830,25537,18637,237.055
840,25877,18893,237.462
850,26218,19150,237.864
860,26559,19408,238.264
870,26899,19666,238.660
880,27242,19925,239.051
890,27584,20185,239.439
900,27928,20445,239.823
910,28272,20706,240.203
920,28616,20967,240.580
930,28960,21228,240.953
940,29306,21491,241.323
950,29652,21754,241.689
960,29999,22017,242.052
970,30345,22280,242.411
980,30692,22544,242.768
990,31041,22809,242.120
1000,31389,23075,243.471
1020,32088,23607,244.164
1040,32789,24142,244.844
1060,33490,24677,245.513
1080,34194,25214,246.171
1100,34899,25753,246.818
1120,35606,26294,247.454
1140,36314,26836,248.081
1160,37023,27379,248.698
1180,37734,27923,249.307
1200,38447,28469,249.906
1220,39162,29018,250.497
1240,39877,29568,251.079
1260,40594,30118,251.653
1280,41312,30670,252.219
1300,42033,31224,252.776
1320,42753,31778,253.325
1340,43475,32334,253.868
1360,44198,32891,254.404
1380,44923,33449,254.932
1400,45648,34008,255.454
1420,46374,34567,255.968
1440,47102,35129,256.475
1460,47831,35692,256.978
1480,48561,36256,257.474
1500,49292,36821,257.965
1520,50024,37387,258.450
1540,50756,37952,258.928
1560,51490,38520,259.402
1580,52224,39088,259.870
1600,52961,39658,260.333
1620,53696,40227,260.791
1640,54434,40799,261.242
1660,55172,41370,261.690
1680,55912,41944,262.132
1700,56652,42517,262.571
1720,57394,43093,263.005
1740,58136,43669,263.435
1760,58880,44247,263.861
1780,59624,44825,264.283
1800,60371,45405,264.701
1820,61118,45986,265.113
1840,61866,46568,265.521
1860,62616,47151,265.925
1880,63365,47734,266.326
1900,64116,48319,266.722
1920,64868,48904,267.115
1940,65620,49490,267.505
1960,66374,50078,267.891
1980,67127,50665,268.275
2000,67881,51253,268.655
2050,69772,52727,269.588
2100,71668,54208,270.504
2150,73573,55697,271.399
2200,75484,57192,272.278
2250,77397,58690,273.136
2300,79316,60193,273.891
2350,81243,61704,274.809
2400,83174,63219,275.625
2450,85112,64742,276.424
2500,87057,66271,277.207
2550,89004,67802,277.979
2600,90956,69339,278.738
2650,92916,70883,279.485
2700,94881,72433,280.219
2750,96852,73987,280.942
2800,98826,75546,281.654
2850,100808,77112,282.357
2900,102793,78682,283.048
2950,104785,80258,283.728
3000,106780,81837,284.399
3050,108778,83419,285.060
3100,110784,85009,285.713
3150,112795,86601,286.355
3200,114809,88203,286.989
3250,116827,89804,287.614
