# name: Table A-24
# caption: Ideal-gas properties of monatomic oxygen, O
# source: Cengel and Boles 8th Edition
# notes: Source of Data: Tables A–18 through A–25 are adapted from Kenneth Wark, Thermodynamics, 4th ed. (New York: McGraw-Hill, 1983), pp. 787–98. Originally published in JANAF, Thermochemical Tables, NSRDS-NBS-37, 1971.
# delimiter: ,
# interpolate: True
#----------------------------------------------------
T,h_molar,u_molar,so_molar
#----------------------------------------------------
K,kJ/kmol,kJ/kmol,kJ/kmol/K
#----------------------------------------------------
0,0,0,0
298,6852,4373,160.944
300,6892,4398,161.079
500,11197,7040,172.088
1000,21713,13398,186.678
1500,32150,19679,195.143
1600,34234,20931,196.488
1700,36317,22183,197.751
1800,38400,23434,198.941
1900,40482,24685,200.067
2000,42564,25935,201.135
2050,43605,26560,201.649
2100,44646,27186,202.151
2150,45687,27811,202.641
2200,46728,28436,203.119
2250,47769,29062,203.588
2300,48811,29688,204.045
2350,49852,30314,204.493
2400,50894,30940,204.932
2450,51936,31566,205.362
2500,52979,32193,205.783
2550,54021,32820,206.196
2600,55064,33447,206.601
2650,56108,34075,206.999
2700,57152,34703,207.389
2750,58196,35332,207.772
2800,59241,35961,208.148
2850,60286,36590,208.518
2900,61332,37220,208.882
2950,62378,37851,209.240
3000,63425,38482,209.592
3100,65520,39746,210.279
3200,67619,41013,210.945
3300,69720,42283,211.592
3400,71824,43556,212.220
3500,73932,44832,212.831
