# name: Table A-22
# caption: Ideal-gas properties of hydrogen, H2
# source: Cengel and Boles 8th Edition
# notes: Source of Data: Tables A–18 through A–25 are adapted from Kenneth Wark, Thermodynamics, 4th ed. (New York: McGraw-Hill, 1983), pp. 787–98. Originally published in JANAF, Thermochemical Tables, NSRDS-NBS-37, 1971.
# delimiter: ,
# interpolate: True
#----------------------------------------------------
T,h_molar,u_molar,so_molar
#----------------------------------------------------
K,kJ/kmol,kJ/kmol,kJ/kmol/K
#----------------------------------------------------
0,0,0,0
260,7370,5209,126.636
270,7657,5412,127.719
280,7945,5617,128.765
290,8233,5822,129.775
298,8468,5989,130.574
300,8522,6027,130.754
320,9100,6440,132.621
340,9680,6853,134.378
360,10262,7268,136.039
380,10843,7684,137.612
400,11426,8100,139.106
420,12010,8518,140.529
440,12594,8936,141.888
460,13179,9355,143.187
480,13764,9773,144.432
500,14350,10193,145.628
520,14935,10611,146.775
560,16107,11451,148.945
600,17280,12291,150.968
640,18453,13133,152.863
680,19630,13976,154.645
720,20807,14821,156.328
760,21988,15669,157.923
800,23171,16520,159.440
840,24359,17375,160.891
880,25551,18235,162.277
920,26747,19098,163.607
960,27948,19966,164.884
1000,29154,20839,166.114
1040,30364,21717,167.300
1080,31580,22601,168.449
1120,32802,23490,169.560
1160,34028,24384,170.636
1200,35262,25284,171.682
1240,36502,26192,172.698
1280,37749,27106,173.687
1320,39002,28027,174.652
1360,40263,28955,175.593
1400,41530,29889,176.510
1440,42808,30835,177.410
1480,44091,31786,178.291
1520,45384,32746,179.153
1560,46683,33713,179.995
1600,47990,34687,180.820
1640,49303,35668,181.632
1680,50622,36654,182.428
1720,51947,37646,183.208
1760,53279,38645,183.973
1800,54618,39652,184.724
1840,55962,40663,185.463
1880,57311,41680,186.190
1920,58668,42705,186.904
1960,60031,43735,187.607
2000,61400,44771,188.297
2050,63119,46074,189.148
2100,64847,47386,189.979
2150,66584,48708,190.796
2200,68328,50037,191.598
2250,70080,51373,192.385
2300,71839,52716,193.159
2350,73608,54069,193.921
2400,75383,55429,194.669
2450,77168,56798,195.403
2500,78960,58175,196.125
2550,80755,59554,196.837
2600,82558,60941,197.539
2650,84368,62335,198.229
2700,86186,63737,198.907
2750,88008,65144,199.575
2800,89838,66558,200.234
2850,91671,67976,200.885
2900,93512,69401,201.527
2950,95358,70831,202.157
3000,97211,72268,202.778
3050,99065,73707,203.391
3100,100926,75152,203.995
3150,102793,76604,204.592
3200,104667,78061,205.181
3250,106545,79523,205.765
