# name: Table A-27
# caption: Properties of some common fuels and hydrocarbons
# notes: 1. Density and Specific Heat at 1 atm and 20 C.
# notes: 2. Enthalpy of vaporization t 25 C for liquid fuels, and 1 atm and normal boiling temperature for gaseous fuels.
# notes: 3. Higher and lower heating values at 25 C. Multiply by molar mass to obtain heating values in kJ/kmol.
# source: Cengel and Boles 8th Edition
# delimiter: ,
# interpolate: False
#-name----------------------------------------------------
fuel,phase,formula,M,density,h_fg,c_p,HHV,LHV
#-units---------------------------------------------------
None,None,None,kg/kmol,kg/L,kJ/kg,kJ/kg/K,kJ/kg,kJ/kg
#---------------------------------------------------------
Carbon,s,C,12.011,2,—,0.708,32800,32800
Hydrogen,g,H2,2.016,—,—,14.4,141800,120000
Carbon monoxide,g,CO,28.013,—,—,1.05,10100,10100
Methane,g,CH4,16.043,—,509,2.20,55530,50050
Methanol,l,CH4O,32.042,0.790,1168,2.53,22660,19920
Acetylene,g,C2H2,26.038,—,—,1.69,49970,48280
Ethane,g,C2H6,30.070,—,172,1.75,51900,47520
Ethanol,l,C2H6O,46.069,0.790,919,2.44,29670,26810
Propane,l,C3H8,44.097,0.500,335,2.77,50330,46340
Butane,l,C4H10,58.123,0.579,362,2.42,49150,45370
1-Pentene,l,C5H10,70.134,0.641,363,2.20,47760,44630
Isopentane,l,C5H12,72.150,0.626,—,2.32,48570,44910
Benzene,l,C6H6,78.114,0.877,433,1.72,41800,40100
Hexene,l,C6H12,84.161,0.673,392,1.84,47500,44400
Hexane,l,C6H14,86.177,0.660,366,2.27,48310,44740
Toluene,l,C7H8,92.141,0.867,412,1.71,42400,40500
Heptane,l,C7H16,100.204,0.684,365,2.24,48100,44600
Octane,l,C8H18,114.231,0.703,363,2.23,47890,44430
Decane,l,C10H22,142.285,0.730,361,2.21,47640,44240
Gasoline,l,CnH1.87n,105,0.72–0.78,350,2.4,47300,44000
Light diesel,l,CnH1.8n,170,0.78–0.84,270,2.2,46100,43200
Heavy diesel,l,CnH1.7n,200,0.82–0.88,230,1.9,45500,42800
Natural gas,g,CnH3.8nN0.1n,18,—,—,2,50000,45000
