T,rho,c_p,mu,nu,k,alpha,Pr,beta
K,kg/m^3,kJ/kg/delta_degC,N*s/m^2,m^2/s,W/m/delta_degC,m^2/s, ,1/K
273,899.1,1.796,3.85,0.00428,0.147,0.000000091,47000,0.0007
280,895.3,1.827,2.17,0.00243,0.144,0.000000088,27500,0.0007
290,890,1.868,0.999,0.00112,0.145,8.72E-08,12900,0.0007
300,884.1,1.909,0.486,0.00055,0.145,8.59E-08,6400,0.0007
310,877.9,1.951,0.253,0.000288,0.145,8.47E-08,3400,0.0007
320,871.8,1.993,0.141,0.000161,0.143,8.23E-08,1965,0.0007
330,865.8,2.035,0.0836,0.0000966,0.141,0.00000008,1205,0.0007
340,859.9,2.076,0.0531,0.0000617,0.139,7.79E-08,793,0.0007
350,853.9,2.118,0.0356,0.0000417,0.138,7.63E-08,546,0.0007
360,847.8,2.161,0.0252,0.0000297,0.138,7.53E-08,395,0.0007
370,841.8,2.206,0.0186,0.000022,0.137,7.38E-08,300,0.0007
380,836,2.25,0.0141,0.0000169,0.136,7.23E-08,233,0.0007
390,830.6,2.294,0.011,0.0000133,0.135,7.09E-08,187,0.0007
400,825.1,2.337,0.00874,0.0000106,0.134,6.95E-08,152,0.0007
410,818.9,2.381,0.00698,0.00000852,0.133,6.82E-08,125,0.0007
420,812.1,2.427,0.00564,0.00000694,0.133,6.75E-08,103,0.0007
430,806.5,2.471,0.0047,0.00000583,0.132,6.62E-08,88,0.0007
